Model,BooleanFeatures,GroupKeywords,BooleanConstraints,FeatureAttributes,GroupCardinality,NumericConstraints,FeatureCardinality,AggregateFunctions,TypeFeatures,StringConstraints,Imports
Bausatz2022_Burgers,46,14,0,3,1,2,0,0,3,0,0
Bausatz2022_Desserts,21,4,0,2,0,1,1,3,0,0,0
Bausatz2025_Burgers,9,10,19,2,0,3,1,1,3,1,1
Bausatz2025_Desserts,17,4,0,2,0,1,1,3,0,0,0
Bausatz2025_DrinkMix,39,15,3,3,0,3,2,1,3,1,1
Bausatz2025_Ingredients,60,1,0,2,0,0,0,0,0,0,0
Bausatz2025_Pasta,17,12,25,2,0,2,1,0,2,0,1
Bausatz2025_Pfandl,13,11,17,2,0,2,1,0,2,0,1
Bausatz2025_Pizzas,10,9,14,2,0,2,1,0,2,0,1
Bausatz2025_Potatoes,8,7,16,2,0,2,1,0,2,0,1
Bausatz2025_Salads,16,8,6,2,0,2,1,0,2,0,1
Bausatz2025_ScrambledEggs,9,9,27,2,0,2,2,0,2,0,1
Bausatz2025_Spirits,21,1,0,3,0,0,0,0,0,0,0
Bausatz2025_ToastedBread,8,8,18,2,0,2,1,0,2,0,1
Bibra2025,4,3,0,2,0,0,0,0,0,0,3
Bibra2025_Bases,6,1,0,0,0,0,0,0,0,0,0
Bibra2025_Dressings,15,1,0,2,0,0,0,0,0,0,0
Bibra2025_FinalTouch,13,1,0,0,0,0,0,0,0,0,0
Bibra2025_Ingredients,27,1,0,1,0,0,0,0,0,0,0
Bibra2025_Marinades,7,1,0,2,0,0,0,0,0,0,0
Bibra2025_Pokebowls,16,14,18,1,0,1,3,2,0,0,6
Bibra2025_Proteins,16,1,0,3,0,0,0,0,0,0,0
Bibra2025_Salad,11,10,15,0,0,1,2,3,0,0,5
Bibra2025_Wraps,14,12,13,0,0,1,1,3,0,0,5
FiveGuys2024,64,30,3,6,0,8,0,6,0,0,0
LaGalerna2020_Burgers,33,9,0,4,0,0,0,0,2,0,0
LaGalerna2020_Salads,42,4,0,3,0,2,0,1,2,1,0
LaGalerna2020_Sandwiches,35,7,0,4,0,2,0,1,2,1,0
LaGalerna2023_Salads,44,4,0,3,0,3,0,4,2,1,0
LaGondolaDeYdai,56,9,4,4,0,5,0,2,0,0,0
NamasteRincon,38,6,4,0,0,0,0,0,0,0,0
Ohana2022_Poke,70,14,0,4,2,1,0,2,0,0,0
Ohana2022_Salad,54,12,0,3,0,1,0,2,0,0,0
PizzeriaLaTradizionale,39,9,3,2,0,0,1,0,0,0,0
Turkish2025_Calzone,8,4,5,1,0,0,1,0,0,0,1
Turkish2025_Ingredients,27,1,0,0,0,0,0,0,0,0,0
Turkish2025_Pizzas,7,5,0,2,0,3,1,0,0,0,1
Ohana2022_Burger,49,17,0,4,0,2,0,3,1,1,0
